orig_hname,new_hname,hclass,horder,hfamily,genus,spp,subspp
Allotoca maculata,Allotoca maculata,Actinopterygii,Cyprinodontiformes,Goodeidae,Allotoca,maculata,NA
Allotoca meeki,Allotoca meeki,Actinopterygii,Cyprinodontiformes,Goodeidae,Allotoca,meeki,NA
Allotoca regalis,Allotoca regalis,Actinopterygii,Cyprinodontiformes,Goodeidae,Allotoca,regalis,NA
Allotoca zacapuensis,Allotoca zacapuensis,Actinopterygii,Cyprinodontiformes,Goodeidae,Allotoca,zacapuensis,NA
Alopias vulpinus,Alopias vulpinus,Chondrichthyes,Lamniformes,Alopiidae,Alopias,vulpinus,NA
Alosa aestivalis,Alosa aestivalis,Actinopterygii,Clupeiformes,Alosinae,Alosa,aestivalis,NA
Alosa agone,Alosa agone,Actinopterygii,Clupeiformes,Alosinae,Alosa,agone,NA
Alosa alabamae,Alosa alabamae,Actinopterygii,Clupeiformes,Alosinae,Alosa,alabamae,NA
Alosa alosa,Alosa alosa,Actinopterygii,Clupeiformes,Alosinae,Alosa,alosa,NA
Alosa braschnikowi,Alosa braschnikowi,Actinopterygii,Clupeiformes,Alosinae,Alosa,braschnikowi,NA
Alosa caspia,Alosa caspia,Actinopterygii,Clupeiformes,Alosinae,Alosa,caspia,NA
Alosa fallax,Alosa fallax,Actinopterygii,Clupeiformes,Alosinae,Alosa,fallax,NA
Alosa immaculata,Alosa immaculata,Actinopterygii,Clupeiformes,Alosinae,Alosa,immaculata,NA
Alosa kessleri,Alosa kessleri,Actinopterygii,Clupeiformes,Alosinae,Alosa,kessleri,NA
Alosa mediocris,Alosa mediocris,Actinopterygii,Clupeiformes,Alosinae,Alosa,mediocris,NA
Alosa pseudoharengus,Alosa pseudoharengus,Actinopterygii,Clupeiformes,Alosinae,Alosa,pseudoharengus,NA
Alosa sapidissima,Alosa sapidissima,Actinopterygii,Clupeiformes,Alosinae,Alosa,sapidissima,NA
Alosa saposchnikowii,Alosa saposchnikowii,Actinopterygii,Clupeiformes,Alosinae,Alosa,saposchnikowii,NA
Alphestes afer,Alphestes afer,Actinopterygii,Perciformes,Serranidae,Alphestes,afer,NA
Alphestes multiguttatus,Alphestes multiguttatus,Actinopterygii,Perciformes,Serranidae,Alphestes,multiguttatus,NA
Aluterus monoceros,Aluterus monoceros,Actinopterygii,Tetradontiformes,Monacanthidae,Aluterus,monoceros,NA
Aluterus schoepfii,Aluterus schoepfii,Actinopterygii,Tetradontiformes,Monacanthidae,Aluterus,schoepfii,NA
Aluterus scriptus,Aluterus scriptus,Actinopterygii,Tetradontiformes,Monacanthidae,Aluterus,scriptus,NA
